NAME_2,NAME_3,avg_rainfall,max_rainfall,avg_temperature,elevation,landcover_class,ndvi,slope,soil_moisture,year,month,lat,long,map_image,NAME_3_clean,hujan_harian_max,hujan_kumulatif_3h_max,jml_hari_hujan_lebat,maks_hari_hujan_beruntun,total_hujan_bulan,banjir
kota bekasi,rawalumbu,4.447527170402461,31.15364044377791,32.42697046736789,27.96,Built-up,0.346539466810615,0.131,42.73363425419543,2025,7,-6.2812,106.9942,RGB_BekasiBarat2020.tif,rawalumbu,31.15364044377791,46.78213481780884,0.0,5.0,137.8733422824763,0
jakarta timur,matraman,3.145564449040467,26.04961403332713,33.078826745603365,12.702,Built-up,0.2330889552498694,0.132,43.16132000809488,2025,7,-6.2036,106.8645,RGB_Matraman2020.tif,matraman,26.04961403332713,37.10070338558022,0.0,5.0,97.51249792025448,0
bogor,sukaraja,36.068,77.884,30.15,276.337,Tree cover,0.635,1.706,35.963,2024,6,-6.5792,106.8408,RGB_Sukaraja2024(2).tif,sukaraja,8.9,18.79999999999999,0.0,8.0,82.89999999999999,0
bogor,cigombong,58.886,106.803,27.44,688.475,Tree cover,0.663,4.624,35.103,2022,8,-6.7461,106.8128,RGB_BabakanMadang2022.tif,cigombong,34.6,67.79999999999995,3.0,12.0,235.0,0
kota bekasi,jatisampurna,60.909,117.004,35.31,69.311,Built-up,0.517,0.278,41.652,2024,4,-6.3654,106.9249,RGB_BekasiBarat2024.tif,jatisampurna,35.9,69.50000000000001,5.0,19.0,399.9,0
bogor,ciawi,12.651757808251157,43.29368538621603,28.3230638347806,925.94,Tree cover,0.3899408103970213,6.501,40.728062451945576,2026,1,-6.7091,106.8937,RGB_Ciawi2020(1).tif,ciawi,43.29368538621603,69.97023329058298,0.0,18.0,392.2044920557858,0
kota bekasi,medansatria,6.161033630913325,51.716987457583656,33.70718098255633,10.53,Built-up,0.30978015041259,0.136,34.97512338273203,2025,8,-6.1989,106.9836,RGB_MedanSatria2020.tif,medansatria,51.716987457583656,55.62094982038786,1.0,4.0,190.99204255831307,0
tangerang,curug,66.413,117.909,39.77,30.753,Built-up,0.367,0.142,39.13,2022,11,-6.2426,106.5661,RGB_Curug_2022(1).tif,curug,38.8,85.30000000000003,5.0,18.0,327.2999999999999,0
kota bekasi,pondokgede,9.138072229723663,35.02651745537656,34.385807206704264,24.987,Built-up,0.2761333414566216,0.142,42.64717547394424,2025,12,-6.2691,106.9299,RGB_BekasiBarat2020.tif,pondokgede,35.02651745537656,49.79362080880411,0.0,8.0,283.2802391214336,0
kota bekasi,bekasiselatan,58.05966692632546,110.10655609965245,34.23837262505113,24.366327626598054,Built-up,0.21424011215585376,0.1170374971403502,40.05322736322237,2023,1,-6.25310732661885,106.85753455938361,RGB_SerpongUtara2021.tif,serpongutara,33.93058136874744,84.55610551570807,8.347093156262781,17.285173953080264,386.4549708171766,1
jakarta utara,koja,15.114,44.166,35.89,3.739,Built-up,0.216,0.063,35.75,2022,7,-6.1215,106.905,RGB_Koja2022.tif,koja,27.3,55.19999999999997,3.0,5.0,143.0,0
kota bekasi,rawalumbu,15.504330199432944,70.88059390066756,34.385807206704264,27.532625195059797,Built-up,0.197503123899885,0.15340293820830778,45.748810022148156,2026,1,-6.282196855343093,107.01756958567393,RGB_BekasiBarat2020.tif,serpongutara,70.88059390066756,81.7145865629107,1.0,8.163502808713282,480.6342361824213,1
kota tangerang,karawaci,68.61191600574317,118.75883014038774,28.85,20.165749767652304,Built-up,0.2464580451237075,0.1177507937084563,38.890193701034896,2021,2,-6.18730372771298,106.53566630572544,RGB_Benda2021.tif,sepatan,32.268454471935,69.83917961346012,4.0,27.0,348.23564746076437,1
jakarta pusat,cempakaputih,39.045,59.122,42.54,8.401,Built-up,0.241,0.095,38.65,2020,3,-6.1809,106.8681,RGB_CempakaPutih2020.tif,cempakaputih,34.7,64.30000000000001,2.0,22.0,273.1,0
jakarta selatan,setiabudi,29.879,42.617,37.08,17.99,Built-up,0.346,0.133,37.839,2022,5,-6.2196,106.83,RGB_Setiabudi2022.tif,setiabudi,19.2,37.00000000000001,0.0,12.0,153.69999999999996,0
bekasi,bekasitimur,77.63178124924362,121.46809407684174,38.68535418093354,12.932900259419684,Built-up,0.17735077060657617,0.12187077656840627,39.17952533615823,2020,1,-6.205739685795539,106.99267317692932,RGB_CikarangUtara2021.tif,cikarangtimur,66.6652341628879,111.41846474867772,7.532305857898434,27.233847071050782,468.78738888038623,1
kota tangerang,larangan,18.583,45.313,35.69,21.351,Built-up,0.27,0.155,36.679,2021,6,-6.2392,106.733,RGB_Larangan2021(2).tif,larangan,17.9,39.19999999999999,0.0,16.0,154.9,0
bogor,caringin,97.012,213.182,28.53,765.651,Tree cover,0.529,4.954,36.683,2022,9,-6.7366,106.866,RGB_Caringin2022(2).tif,caringin,42.8,87.89999999999995,9.0,26.0,422.5000000000001,1
bekasi,cabangbungin,10.688079130665049,30.47935249186959,26.12469308844854,3.757,Cropland,0.280895113200975,0.053,37.60669529438019,2026,2,-6.0781,107.1363,RGB_Cabangbungin2020.tif,cabangbungin,30.47935249186959,62.29357971625007,0.0,12.0,299.2662156586213,1
bekasi,tambelang,37.536,73.328,30.62,5.555,Cropland,0.518,0.072,38.036,2024,3,-6.167,107.1273,RGB_Babelan2024.tif,tambelang,37.8,86.60000000000001,3.0,18.0,314.7,0
kota bekasi,bekasiselatan,44.60886993031395,86.48575032794555,39.36584217393842,20.562841884169316,Built-up,0.2604890277589826,0.1195619822736814,38.47758581633805,2022,1,-6.248209431772048,106.99891624762715,RGB_BekasiBarat2023.tif,kramatjati,30.07517802671486,72.99925882932797,2.4525505016331994,24.2262752508166,285.3810492644658,1
jakarta utara,penjaringan,5.424,7.395,33.81,3.083,Built-up,0.277,0.074,32.469,2023,8,-6.115,106.7639,RGB_Penjaringan2023.tif,penjaringan,15.8,16.599999999999973,0.0,3.0,32.60000000000001,0
tangerang selatan,serpongutara,68.391,114.105,37.56,26.59,Built-up,0.227,0.18,40.419,2021,2,-6.2536,106.663,RGB_SerpongUtara2021.tif,serpongutara,40.7,83.60000000000002,7.0,22.0,399.7,1
bekasi,cikarangtimur,22.285,62.437,33.97,15.164,Cropland,0.484,0.085,36.876,2021,4,-6.2885,107.209,RGB_CikarangTimur2021.tif,cikarangtimur,28.6,54.30000000000001,2.0,8.0,211.4,0
tangerang,cisoka,19.107,48.761,33.74,26.713,Tree cover,0.537,0.26,36.328,2023,12,-6.2598,106.4167,RGB_Cisoka_2023.tif,cisoka,31.3,56.39999999999996,1.0,9.0,178.79999999999998,0
jakarta utara,pademangan,10.991,20.161,34.89,3.198,Built-up,0.303,0.104,35.597,2021,7,-6.1301,106.8381,RGB_Pademangan2021.tif,pademangan,12.0,20.800000000000004,0.0,3.0,43.7,0
jakarta utara,pademangan,25.285,45.387,31.5,3.198,Built-up,0.254,0.104,37.29,2022,3,-6.1301,106.8381,RGB_Pademangan2022.tif,pademangan,28.3,50.60000000000001,2.0,17.0,247.8,0
tangerang,pasarkemis,5.205368928194963,33.46770474521382,30.33273520081758,15.611578421096645,Built-up,0.4786894906069548,0.09235610991575935,32.60586316022655,2025,7,-6.2863585546689675,107.20027074956664,RGB_Jatinegara2020.tif,cikarangtimur,33.46770474521382,54.050418935889475,0.0,5.0,161.36643677404385,1
jakarta selatan,pesanggrahan,19.527945316642736,40.778138817272755,36.76074692285295,13.796708646287232,Built-up,0.2617698814167888,0.1216915640950985,36.89170485589521,2021,5,-6.20694264034934,106.8190745489374,RGB_Pesanggrahan2021.tif,bekasibarat,18.654459621543737,31.961445511887312,0.5385544881126874,12.230118583211189,150.63108525958313,1
bekasi,tambunselatan,74.91110566406925,116.94609084075694,38.03044878873602,5.165661923989543,Built-up,0.15876110497621193,0.09833831987484463,38.149047417581755,2020,1,-6.148083015160945,106.92453386712914,RGB_Babelan2021.tif,pulogadung,93.57413117997514,121.0126697839784,7.06467205006215,29.93532794993785,489.60074798122673,1
kota bekasi,jatisampurna,11.476,37.383,33.73,69.311,Built-up,0.486,0.278,38.068,2023,7,-6.3654,106.9249,RGB_BekasiBarat2023.tif,jatisampurna,21.8,53.70000000000002,1.0,3.0,102.9,0
jakarta utara,koja,23.149,57.439,41.72,3.739,Built-up,0.163,0.063,37.655,2020,11,-6.1215,106.905,RGB_Koja2020.tif,koja,19.1,33.2,0.0,14.0,173.89999999999998,0
jakarta selatan,tebet,9.309,16.4,36.31,17.948,Built-up,0.267,0.137,36.038,2020,6,-6.2289,106.8509,RGB_Tebet2020.tif,tebet,16.2,23.099999999999994,0.0,7.0,122.1,0
tangerang selatan,ciputattimur,8.592104670695148,44.95898241662665,32.304029904548166,43.9649542114354,Built-up,0.438259642553669,0.2682285721058346,44.21213903375341,2025,7,-6.31202398534797,106.81299902422994,RGB_CiputatTimur2020.tif,ciputattimur,44.95898241662665,85.58816792585262,0.20375940443714569,4.815037617748583,264.59691827118394,1
jakarta timur,pulogadung,40.779,73.259,38.1,10.47,Built-up,0.25,0.136,38.154,2024,3,-6.1932,106.889,RGB_Cakung2024.tif,pulogadung,37.5,70.60000000000002,2.0,17.0,275.2,0
bekasi,muaragembong,52.922,112.275,30.34,1.597,Permanent water bodies,0.275,0.046,37.846,2022,1,-6.0033,107.0499,RGB_MuaraGembong2022.tif,muaragembong,40.1,94.9,5.0,18.0,314.3,0
bekasi,cikarangpusat,32.314,57.257,34.67,34.68,Built-up,0.508,0.347,37.778,2022,4,-6.3596,107.1836,RGB_CikarangPusat2022.tif,cikarangpusat,36.4,57.70000000000003,4.0,25.0,284.20000000000005,0
bekasi,bekasiutara,16.151130341130916,67.50564619151444,34.385807206704264,9.864693174223929,Built-up,0.12517945210265452,0.08723429667809457,39.155319514662445,2026,1,-6.1787920824318245,107.17354861439068,RGB_Sukatani2020.tif,bekasiutara,67.50564619151444,79.84961981845375,1.0,12.425942199314326,500.6850405750584,1
bogor,tenjolaya,28.542,57.826,27.78,736.012,Tree cover,0.754,6.928,35.582,2021,7,-6.6537,106.708,RGB_BabakanMadang2021.tif,tenjolaya,44.3,61.49999999999999,3.0,6.0,140.59999999999997,0
tangerang,solear,27.77,88.508,31.41,39.539,Tree cover,0.636,0.297,36.621,2023,5,-6.3069,106.4215,RGB_Solear_2023.tif,solear,19.5,43.599999999999966,0.0,9.0,144.7,0
jakarta selatan,kebayoranlama,22.756,48.228,33.56,25.395,Built-up,0.355,0.143,37.778,2024,6,-6.2495,106.7801,RGB_KebayoranLama2024.tif,kebayoranlama,14.2,32.699999999999974,0.0,9.0,153.60000000000002,0
jakarta utara,jayanti,19.01382632206426,44.602442441637784,33.3936175323978,5.019561301639877,Built-up,0.3456167734351791,0.06657315128848224,33.31955442979306,2023,1,-6.138493568523,107.11573515152772,RGB_Penjaringan2020.tif,babelan,42.44352775338159,91.81537941668171,2.665326775624928,20.761521935892837,401.77552282418304,1
jakarta barat,karangtengah,65.99368817969565,108.3292067051068,39.18001058228221,16.90685571110647,Built-up,0.24349947088588939,0.15766631392392627,37.852567898699355,2020,1,-6.224513615441962,106.74790024670601,RGB_Pesanggrahan2020.tif,pondokaren,44.182469113619334,98.34081126552118,5.0,31.0,426.0333686076074,1
jakarta timur,cipayung,73.28663612875987,134.94876770798484,32.35512481740062,49.9757955595852,Built-up,0.33971618296698025,0.22382857846845602,39.8969259103465,2020,2,-6.354531997043249,107.0205283755434,RGB_Cipayung_2020(1).tif,pasarrebo,38.9542855382886,84.37199950720809,5.363809641140934,29.0,457.1790457417451,1
tangerang,mauk,19.040891634683362,78.1546220703224,34.385807206704264,9.098775027214174,Cropland,0.2323656585450027,0.06577084516502564,36.928146552312,2026,1,-6.1160807527504275,106.60462658371742,RGB_Sukadiri_2020.tif,sukadiri,78.1546220703224,104.32443565037326,1.0,12.076384944991457,590.2676406751842,1
tangerang,pasarkemis,36.386,61.973,30.26,14.061,Built-up,0.389,0.127,38.411,2024,2,-6.1589,106.5525,RGB_Pasar_Kemis_2024.tif,pasarkemis,41.6,87.19999999999997,7.0,21.0,378.1,0
bogor,cigudeg,44.892,66.628,27.83,309.2,Tree cover,0.722,3.666,39.136,2022,1,-6.4937,106.5461,RGB_Cigudeg2022.tif,cigudeg,34.2,84.70000000000002,4.0,27.0,257.70000000000005,0
bogor,babakanmadang,18.39688077340719,54.67599343805171,28.457211062165143,501.913,Tree cover,0.7043858413162253,5.001,40.22658912120809,2023,3,-6.5917,106.902,RGB_BabakanMadang2023.tif,babakanmadang,49.210685251800676,87.07607564310892,1.2556390937953616,13.834586406930423,275.9670979960824,1
bogor,gunungsindur,31.35,66.35,31.08,72.997,Tree cover,0.683,0.372,39.713,2021,6,-6.3871,106.6872,RGB_BabakanMadang2021.tif,gunungsindur,27.1,50.20000000000002,1.0,16.0,223.7,0
bekasi,cikarangtimur,7.2735584985991455,24.818763288926828,30.203311456193493,15.164,Cropland,0.5075891786497685,0.085,33.74494531612361,2025,5,-6.2885,107.209,RGB_CikarangTimur2020.tif,cikarangtimur,24.818763288926828,45.044611024868175,0.0,11.0,225.4803134565735,0
tangerang selatan,serpong,11.20048232789431,30.775117683502263,30.245369698611924,52.642336456822136,Built-up,0.4938176504905557,0.25022022530137733,37.35493013972084,2025,10,-6.3986391091590065,107.08829139190733,RGB_BabakanMadang2020.tif,kramatjati,30.775117683502263,56.00677511598961,0.0,26.696620479340275,338.40697686975983,1
jakarta selatan,setiabudi,79.232,129.25,36.65,17.99,Built-up,0.177,0.133,38.721,2021,2,-6.2196,106.83,RGB_Setiabudi2021.tif,setiabudi,40.1,79.4,9.0,27.0,402.7,1
bekasi,tambunselatan,10.455976670267855,32.77703727839052,34.385807206704264,20.065,Built-up,0.2331181526887711,0.152,45.88807821273804,2026,2,-6.2571,107.0543,RGB_Babelan2020.tif,tambunselatan,32.77703727839052,66.6185131460179,0.0,23.0,292.7673467675,0
tangerang selatan,cileungsi,8.379823800947655,21.946156801828515,33.32468854039483,62.08518318281155,Tree cover,0.39159959361110486,0.23806431119336915,42.7536895894148,2025,8,-6.359166408467583,106.81143524487862,RGB_BabakanMadang2020.tif,cileungsi,21.946156801828515,44.801225705867495,0.0,21.532155596684575,246.3292187639384,1
bogor,cibinong,50.216373613030974,102.56351365257547,35.21282430047321,133.61545446471732,Built-up,0.5148035872876721,0.2947124541892899,40.00125919024659,2020,4,-6.477783825938979,106.79522144116837,RGB_BabakanMadang2023.tif,cibinong,40.65353037559151,64.78267020224158,3.940949855541728,19.76379942216691,245.4451875569114,1
jakarta timur,pasarrebo,71.20951585252062,129.0220971403802,29.657811524590286,52.77029397476679,Built-up,0.28718529943969606,0.2350335481012753,40.567560771591985,2020,2,-6.347562299452163,106.95125031486405,RGB_Setu2020.tif,pasarrebo,39.5,85.9,5.0,29.0,463.00000000000006,1
jakarta timur,makasar,37.145,96.138,38.56,25.658,Built-up,0.262,0.16,39.838,2023,1,-6.2663,106.8911,RGB_Makasar2023.tif,makasar,28.6,77.49999999999997,5.0,15.0,294.1,0
kota bogor,bogortimur,54.654,108.148,33.49,322.856,Built-up,0.348,1.429,38.935,2022,12,-6.6207,106.8264,RGB_BogorTimur2022.tif,bogortimur,33.0,82.39999999999998,5.0,12.0,336.90000000000003,0
bogor,tanjungsari,33.867,68.871,28.14,362.528,Tree cover,0.774,5.549,36.208,2021,6,-6.6115,107.1406,RGB_BabakanMadang2021.tif,tanjungsari,16.8,42.70000000000003,0.0,13.0,186.6,0
bogor,pamijahan,38.905,89.978,24.83,827.34,Tree cover,0.75,5.169,36.258,2024,6,-6.6933,106.6596,RGB_BabakanMadang2024.tif,pamijahan,13.6,24.100000000000065,0.0,8.0,108.0,0
jakarta timur,durensawit,34.452,56.8,39.22,16.888,Built-up,0.21,0.139,37.894,2022,10,-6.2325,106.9206,RGB_DurenSawit2022.tif,durensawit,27.4,57.19999999999997,5.0,26.0,322.9,1
bogor,tamansari,20.649146717290904,95.25545240324698,26.60417136297228,715.585,Tree cover,0.7241843039031518,6.987,40.56193045154709,2025,8,-6.6564,106.7458,RGB_Tamansari2020(1).tif,tamansari,95.25545240324698,171.73633403130256,4.0,4.0,640.123548236018,0
kota bekasi,mustikajaya,59.35,112.255,38.87,32.768,Built-up,0.421,0.179,37.881,2022,10,-6.3076,107.0166,RGB_BekasiBarat2022.tif,mustikajaya,32.1,76.90000000000002,6.0,26.0,363.3,1
tangerang,teluknaga,3.8159440062430345,29.22333563538682,29.58725590551183,3.313,Permanent water bodies,0.413890675605408,0.071,31.19755455449837,2025,7,-6.0499,106.6582,RGB_Teluknaga_2020.tif,teluknaga,29.22333563538682,48.03397049420772,0.0,7.0,118.29426419353408,0
tangerang,sindangjaya,16.819,40.511,31.97,17.038,Tree cover,0.604,0.132,33.953,2020,7,-6.1689,106.4989,RGB_Sindang_Jaya_2020.tif,sindangjaya,46.2,55.6,1.0,5.0,128.0,0
tangerang,balaraja,5.085464380258023,28.151976611929364,31.634998569888285,10.609011035524327,Built-up,0.49131729349120007,0.08028469051296515,31.448340718631187,2025,9,-6.221259686714883,107.19768325723112,RGB_Babelan2020.tif,pasarkemis,28.151976611929364,48.227992666339446,0.0,5.943061897406972,157.64939578799874,1
bogor,klapanunggal,80.046,150.566,32.62,203.856,Tree cover,0.522,3.061,40.057,2022,10,-6.483,106.9553,RGB_BabakanMadang2022.tif,klapanunggal,24.4,46.7,2.0,18.0,246.6,0
bogor,bantargebang,63.70706590096617,99.09866434097053,32.452569474904045,58.977797734823575,Built-up,0.35975695282750914,0.4645061808841308,40.44881617607098,2020,1,-6.363763800416489,106.70353568246394,RGB_BabakanMadang2020.tif,legok,56.536148298522306,104.86230674730021,6.340370746305763,30.319258507388476,492.25355307438195,1
kota bekasi,bekasitimur,10.934,42.653,38.5,19.269,Built-up,0.288,0.113,27.685,2020,8,-6.2421,107.0191,RGB_BekasiTimur2020.tif,bekasitimur,26.4,35.09999999999998,1.0,4.0,67.30000000000001,0
jakarta timur,ciracas,8.2415961018794,18.677996286322905,34.385807206704264,53.48,Built-up,0.2969873232815656,0.263,44.5856038003888,2025,2,-6.3339,106.8784,RGB_Ciracas2020.tif,ciracas,18.677996286322905,42.48884922837739,0.0,14.0,230.7646908526232,0
kota bogor,bogorutara,8.884673781681148,67.30131157243427,30.38012683996246,209.387,Built-up,0.515495406618645,0.831,40.389011679729606,2025,7,-6.5708,106.8196,RGB_BogorUtara2020.tif,bogorutara,67.30131157243427,132.28435629456288,1.0,7.0,275.4248872321156,1
bekasi,tambunselatan,8.403142336360778,18.33289433428835,34.385807206704264,20.065,Built-up,0.3030594054750626,0.152,43.761566281318665,2025,2,-6.2571,107.0543,RGB_Babelan2020.tif,tambunselatan,18.33289433428835,41.14102293316035,0.0,14.0,235.2879854181018,0
